split,column,mean,std
train_scaled,SPY_log_return,-1.1328806373726087e-17,1.0
train_scaled,QQQ_log_return,-4.5315225494904345e-18,1.0
train_scaled,GC_log_return,0.0,1.0
train_scaled,SPY_price,8.286212661925366e-17,1.0
train_scaled,SPY_return_5d,-4.5315225494904345e-18,1.0
train_scaled,SPY_return_20d,4.0783702945413916e-17,1.0
train_scaled,SPY_realized_vol_5d,-1.0357765827406708e-17,1.0
train_scaled,SPY_realized_vol_20d,7.250436079184695e-17,1.0
train_scaled,SPY_downside_semivol_20d,1.0357765827406708e-17,1.0
train_scaled,SPY_max_drawdown_20d,4.143106330962683e-17,0.9999999999999998
train_scaled,SPY_rolling_skew_20d,1.0357765827406708e-17,1.0
train_scaled,SPY_rolling_kurtosis_20d,-4.660994622333019e-17,1.0
train_scaled,SPY_volume,1.242931899288805e-16,0.9999999999999999
val_scaled,SPY_log_return,-0.04433597848234574,1.092398186070399
val_scaled,QQQ_log_return,-0.048854734213355795,1.2594962465207975
val_scaled,GC_log_return,-0.019717736495887886,0.8767748843804182
val_scaled,SPY_price,2.8742612725442576,0.34359827489682976
val_scaled,SPY_return_5d,-0.10375745462076162,1.117350836233317
val_scaled,SPY_return_20d,-0.1786547399896166,1.1294037850030558
val_scaled,SPY_realized_vol_5d,0.30046734650979073,0.7876078188099883
val_scaled,SPY_realized_vol_20d,0.3340472480170938,0.7313332042762866
val_scaled,SPY_downside_semivol_20d,0.22116549066827107,0.7109334702536855
val_scaled,SPY_max_drawdown_20d,-0.32399153402870706,0.8889509575635366
val_scaled,SPY_rolling_skew_20d,0.1791579016662432,0.696584677546559
val_scaled,SPY_rolling_kurtosis_20d,-0.4213127037113799,0.7110214499280635
val_scaled,SPY_volume,-0.49760501692260534,0.42584483361488995
test_scaled,SPY_log_return,0.020997708916402045,0.9460816483806707
test_scaled,QQQ_log_return,0.01453627392214806,1.049960205541727
test_scaled,GC_log_return,0.1200037618131034,1.331973219617928
test_scaled,SPY_price,5.185228977422653,1.0657828350868421
test_scaled,SPY_return_5d,0.04525762350149885,0.9392755677381518
test_scaled,SPY_return_20d,0.06112759914790403,0.8912429386608415
test_scaled,SPY_realized_vol_5d,-0.004059965137623037,0.8718647785422141
test_scaled,SPY_realized_vol_20d,-0.0045640697767052475,0.8265946798418468
test_scaled,SPY_downside_semivol_20d,0.008014996013573666,0.7650083286296745
test_scaled,SPY_max_drawdown_20d,-0.010332664498366527,0.7747803387237936
test_scaled,SPY_rolling_skew_20d,-0.09699322767617324,1.0113971363371175
test_scaled,SPY_rolling_kurtosis_20d,0.1561736395770993,1.205758073669555
test_scaled,SPY_volume,-0.7194695222854461,0.39158453689470907
