scenario_id,scenario_name,asset,median_terminal_return,mean_terminal_return,downside_probability,var_5,cvar_5
baseline,Baseline,SPY,0.07668587206435384,0.07991003817930449,0.0,0.029810194009184998,0.021057454493006472
baseline,Baseline,QQQ,0.04176952776259024,0.046503864761195446,0.05,0.0013105360832809392,-0.012131180669710515
baseline,Baseline,GC,0.029369072089254322,0.03133493529938071,0.225,-0.04188503000174392,-0.05591278083737869
baseline,Baseline,CL,-0.29082962949332813,-0.28588016132243754,1.0,-0.37587838111482513,-0.39279896426673633
baseline,Baseline,ZN,-0.00011641160608294454,0.0001676976085740141,0.5125,-0.01415732839708113,-0.018257082103103756
hawkish_policy,Hawkish Policy Shock,SPY,0.08789955467662669,0.09126816493920936,0.00625,0.029768989186928076,0.011117036819904794
hawkish_policy,Hawkish Policy Shock,QQQ,0.031226196437085796,0.031966629857459364,0.1625,-0.019370507925237403,-0.03185103557851239
hawkish_policy,Hawkish Policy Shock,GC,0.03802383490589245,0.035106007460917174,0.20625,-0.029462314482870188,-0.042077676675684156
hawkish_policy,Hawkish Policy Shock,CL,-0.30404019177763564,-0.2984153940152038,1.0,-0.39749915687003456,-0.4178983216867232
hawkish_policy,Hawkish Policy Shock,ZN,0.004937140889381575,0.005246643608458796,0.34375,-0.01051569125896476,-0.014448987068871988
sticky_inflation,Sticky Inflation,SPY,0.09012252978724489,0.093603364754362,0.0,0.02846639099562054,0.012437808081917329
sticky_inflation,Sticky Inflation,QQQ,0.040319338922458314,0.04282965895939046,0.1,-0.005302362781430314,-0.01374209429102885
sticky_inflation,Sticky Inflation,GC,0.029384347511582365,0.035627419386251226,0.20625,-0.029538681817518425,-0.04357111340850009
sticky_inflation,Sticky Inflation,CL,-0.2902541476118695,-0.29502904164861193,1.0,-0.3837836286697438,-0.3906854139838456
sticky_inflation,Sticky Inflation,ZN,-0.001224128179709405,-0.0007200465473715237,0.51875,-0.019739972306193815,-0.022651327035245417
growth_scare,Growth Scare,SPY,0.09215537723320022,0.09678334310483003,0.0125,0.026094770811471844,0.00811654648122681
growth_scare,Growth Scare,QQQ,0.04854216990284976,0.045214614899737784,0.09375,-0.022339611032172118,-0.03674931888489706
growth_scare,Growth Scare,GC,0.06103824441795169,0.060564587432976526,0.075,-0.009927596348170064,-0.027530859215039727
growth_scare,Growth Scare,CL,-0.3296989328919392,-0.3224557752523158,1.0,-0.4141846908433979,-0.4251667603889695
growth_scare,Growth Scare,ZN,-0.003053618649851042,-0.00375163703522191,0.625,-0.02101252751742231,-0.027006414477214163
risk_compression,Risk Compression,SPY,0.06805207092267906,0.0720784991917369,0.0375,0.004052357962826026,-0.008405841692267685
risk_compression,Risk Compression,QQQ,0.04912590730483257,0.049715150001811884,0.075,-0.002698590585752125,-0.012844607753866102
risk_compression,Risk Compression,GC,0.0255917574987794,0.025428046968913876,0.3,-0.04202899870793471,-0.05917479234648347
risk_compression,Risk Compression,CL,-0.2892039252861007,-0.29143834698642845,1.0,-0.37835453938676694,-0.39194914596915414
risk_compression,Risk Compression,ZN,-0.002103000173181102,-0.0012639770272778704,0.56875,-0.01742199091538601,-0.020797615544627307
inflation_reacceleration,Inflation Reacceleration,SPY,0.0932495411557982,0.08990268370855956,0.0125,0.015287047657867226,0.005611446670583206
inflation_reacceleration,Inflation Reacceleration,QQQ,0.03727202765347659,0.03813773145625642,0.15,-0.01808396108620986,-0.03553050371106138
inflation_reacceleration,Inflation Reacceleration,GC,0.028700337423762212,0.030487239907725384,0.25,-0.03751569232164125,-0.0629259736819116
inflation_reacceleration,Inflation Reacceleration,CL,-0.2997316923067032,-0.30149259716358934,1.0,-0.3930475030669265,-0.4159193274920495
inflation_reacceleration,Inflation Reacceleration,ZN,0.004011837431553089,0.0033407225595499896,0.3875,-0.01563205802155828,-0.018738356686892332
